걷는길 명칭,코스명,지역1,난이도,상세거리(km),소요시간(시),소개
늠내길,03코스 옛길,경기 시흥시,어려움,11,4,"조상의 발자취가 묻어있는 옛길은 그 옛날 여우가 많이 출현했다던 여우고개, 사람들이 산적을 피하기 위해 급하게 걸어 숨이 턱까지 차올라 하우하우 했다던 하우고개, 지관이 명당자리를 알아보기 위하여 놓은 계란이 새벽에 병아리가 되었다던 계란마을 등 재미있는 전설이 깃들어 있는 곳을 지나게 되며, 더욱이 조선시대 명정승인 하연선생 묘와 그의 아들인 하우명의 효심을 기리기 위하여 만든 하우명 효자정각을 볼 수 있고, 국내 최대의 마애상으로 보물 제1324호인 소래산마애상을 볼 수 있어 자녀와 함께 하면 훌륭한 문화교육장으로도 활용할 수 있다. 길을 따라 걷다보면 소나무, 참나무를 사이로 남산제비, 둥굴레, 양지꽃 등의 야생초들이 살포시 모습을 드러낸다. 이 길에 들어서면 조선의 어느 명정승의 꼿꼿함과 자애로움이 섞인 목소리와 뱀내장으로 소새우시장으로 팔려가는 소들의 거친 숨소리가 들리는 듯 하고 사람들의 기적에 여우가 호기심 가득한 눈을 하고 빼꼼히 나무사이로 내다 볼 것만 같다. 옛길에 들어서면 우리는 울고 웃으며 살아가던 옛사람들의 흔적을 만나볼 수 있다."
늠내길,04코스 바람길,경기 시흥시,쉬움,15,5,"일상에서 벗어나 가벼운 발걸음으로 어디론가 바람 따라 가고 싶다면 낙조가 아름다운 바람길로 오라. 자유로이 도보꾼이 되어 거침없이 앞으로 나아가고 싶다면 섬과 바다를 만나고 공단과 도심을 사로지르는 바람길을 찾으라. 바람 따라 발길 따라 시원함이 함께하니 절로 몸과 마음이 가벼워지는 길이다. 옥구공원에서 출발하여 오이도와 정왕동 시내를 돌아서 옥구공원으로 되돌아오는 코스로 만들어 졌다. 대중교통을 이용한다면 오이도역에서 출발하는 것도 괜찮은 코스이다. 출발점인 옥구공원에서 출발하여 하늘거리는 리본을 이정표 삼아 걷다 보면 길가에 만개한 코스모스꽃밭을 지나게 되며 이어서 다양한 새들이 날아와 똥을 눈다하여 이름 붙여진 똥섬을 지나게 된다. 똥섬을 돌러보고 나면 시흥시의 대표적인 관광지이자 빨강등대로 유명하고 다양한 해산물과 칼국수를 맛 볼 수 있는 오이도를 지나게 되며 잠시 후 인공바닷길인 시화방조제를 한눈에 바라볼 수 있는 기념공원 전망대를 둘러볼 수 있다. 또한, 생활폐수 등 각종 물을 정화하는 맑은물관리센터를 지나고 옥구천변을 걷다보면 어느덧 국내 최대의 인공녹지인 중앙완충녹지대에 다다르게 된다. 중앙완충녹지대에 시원하게 조성된 메타세콰이어길을 지나면 도심 속 아파트 사이에 아기자기하게 만들어 놓은 걷고 싶은 거리를 만날 수 있고 코스가 끝날 무렵에는 한적하기 그지없고 잔물결이 마음을 설레게 하는 정왕호수공원을 감상할 수 있다."
고창 예향천리마실길,01코스 읍성성곽길,전북 고창군,보통,13.3,3.5,"고창고용버스터미널을 출발해서 고창의 전통시장을 거쳐 고창읍성 외곽길과 삼림욕을 할 수 있는 전불길, 그리고 김기서 강학당과 노동 저수지를 돌아 고창으로 돌아오는 반나절 정도의 마실길로 간단한 등산코스와 마을길을 함께 느낄 수 있는 코스이다. 고창읍성을 성을 한바퀴돌면 다릿병이 낫고 두바퀴 돌면 무병장수하며 세바퀴 돌면 극락승천한다고 한다. 읍성길은 초반에 만나는 코스로 세바퀴 모두 돌고 여행을 하면 고창예향천리마실길을 완주하고 더 건강한 삶이 찾아올 것이다."
고창 예향천리마실길,03코스 문수산 단풍길,전북 고창군,보통,9.6,2,"계절별 테마가 있어 사시사철 언제나 걷고 싶은 길이다. 봄, 여름에는 시원한 신기계곡이 있어 더위를 날리고, 가을에 빨갛게 물든 문수산 단풍에 취해 발걸음이 한발씩 천천히 나아가며 자연을 감상하고 내 마음 속 깊이 잠들고 있던 추억도 아련히 생각난다. 겨울에는 운치있는 편백숲을 만나 황량한 대신 푸르른 숲을 만난다. 눈 오는 날에는 운치를 더해준다. 이렇듯 이 길은 사계절 온가족이 함께 할 수 있는 길이다."
고창 예향천리마실길,04코스 온천길,전북 고창군,보통,8.1,2.5,솔재에서 시작해 천주교 성지순례 코스와 산속 마을을 지나 온천을 즐길 수 있는 코스이다. 고창에서 장성으로 넘어가는 고개인 솔재에서 잠시 쉬어갈 수 있는 쉼터에서 임도길을 따라 걷다보면 치유의 나무로 유명한 편백 숲을 만난다. 이국적인 분위기는 물폰 피톤치드의 특유한 향기 때문에 이곳에서는 걸음이 절로 멈춰진다. 날씬한 자태를 자랑하며 곧게 쭉쭉 뻗은 편백 숲은 보는 즐거움과 걷는 즐거움을 함께 전달해 준다. 마음까지 치유되는 편백 숲을 지나면 신수동으로 가는 삼거리가 나온다. 신수동 삼거리에서 코스 종점인 석정온천 방향으로 내려오면 조선후기 천주교 박해가 심해져 신자들이 산간 오지로 피신하여 숨어 살면서 신앙공동체인 교우촌을 형상허였다는 천주교 공소터를 만날 수 있다. 여행 코스가 마무리되는 석정온천은 프랑스의 루르드온천에 이어 세계에서 두 번째로 발견된 게르마늄 온천으로 여행의 피로를 말끔히 씻어준다.
고창 예향천리마실길,05코스 양고 살재길,전북 고창군,어려움,4.7,2,고창을 한 눈에 볼 수 있는 솔재쉼터와 양고살재의 운월정! 솔재쉼터에서 4코스 반대방향인 운월정 방향으로 발걸음을 옮긴다. 다른 코스에 비해 조금 힘들지만 한적한 숲길에서 만나는 전망대는 상쾌함을 더해준다. 양고살재에서 운월정을 지나 내려가는 숲길은 따라 가면 미소사 부근에서 석정온천으로 발걸음을 돌려 여행을 마무리 하게 된다.
고창 예향천리마실길,06코스 방장산길,전북 고창군,쉬움,17.5,4,방장산에 오르지 않고도 방장산을 느낄 수 있는 길! 고창 예향천리마실길에서는 꽤 긴 거리지만 힘들이지 않고 걸을 수 있으며 선유정에서 쉬어가며 볼 수 있는 고창의 또 다른 전경도 색다른 길이다. 또한 지리산 청학동처럼 아직도 서당에서 공부하고 상투를 하고 있는 유점마을에서 옛 모습의 사람도 볼 수 있는 곳이다.
고창 예향천리마실길,02코스,전북 고창군,보통,7.2,,예향 천리 마실길 2코스를 걸으며 고창 특유의 건강한 자연과 맑은 공기를 느낄 수 있으며 도시화 되지 않은 정감 있는 풍경을 눈에 담아갈 수 있다. *2코스는 3코스와 연결되지만 현재 사유지 통제로 3코스 합류를 앞두고 동서대로로 우회해 합류해야 한다.
고창 예향천리마실길,07코스 고인돌길,전북 고창군,쉬움,5,2,"예향 천리 마실길은 건강한 자연산림 및 바닷길과 옛 선인들의 유비무환 정신을 엿볼 수 있는 고창읍성, 판소리를 집대성한 동리 신재효 선생 생가로 이어진다. 타 지자체의 경관중심과 차별화 된 역사 문화 및 옛 조상들의 삶이 깃든 옛길을 찾아 조성해 자연 친환경적인 것이 특징이다."
천년 전주 마실길,노송천 가는 길,전북 전주시 완산구,쉬움,1.6,0.5,중앙시장 옆에 자리하여 시장을 찾은 손님들에게 도심에서 자연을 느낄 수 있도록 아름답게 꾸며놓은 노송천을 찾아가는 길이다. 예로부터 수목이 울창하여 물에 비치는 바위의 절경이 유명한 다가공원에서 여행은 시작된다. 전주팔경을 표현한 다가사후 ‘다가 천변물이랑을 끼고 한 무리의 백설같이 날리는 이팝나무 꽃 속에 과녁판을 겨누는 한량들의 풍경’ 에서도 알 수 있듯 5월 이팝나무 꽃이 피면 길의 아름다움은 더 해준다. 노송천에 도착하면 사진을 찍을 수 있는 포토존도 있고 하천 밑으로 내려가 구경도 할 수 있도록 잘 꾸며놨기 때문에 중앙시장에서 발걸음은 옮기는 것도 좋다.
천년 전주 마실길,천년 전주 마실길,전북 전주시 완산구,어려움,10.3,5,"후백제를 세운 견훤왕의 기상을 느낄 수 있는 남고산성, 전주가 품고 있는 완산칠봉과 전주의 역사가 살아 숨 쉬는 다가공원 등 조상들이 남겨놓은 발자취를 쫓아가며 천년 전주의 역사와 숨결을 느껴볼 수 있다. 볼거리 많고 먹을거리 많은 고장 전주의 오랜 역사를 두발로 느낄 수 있다."
천마산 생태문화탐방로,천마산 생태문화탐방로 2코스,울산 북구,보통,2,1,"천마산 생태문화탐방로는 천마산을 아우르는 길로서 다양한 코스와 비교적 쉬운 길로 즐거운 산행을 즐길 수 있으며, 편백나무 숲이 있어서 편백산림욕을 즐길 수 있어 가족 단위 나들이에 더 없이 좋은 산길이다. 버스로 여행한다면 천마산생태문화탐방로는 달천마을부터 시작되지만 자차를 이용한 여행객은 만석골저수지에서 여행이 시작된다. 만석골저수지는 울산 북구청에서 순환산책로를 조성하여 저수지 풍광을 시원하게 바라보며 산책할 수 있어 가족여행객에게 사랑 받는 곳이다. 만석골저수지에서 조금만 올라가면 오감쉼터를 잠시 숨을 거르고 나면 솔향기 가득한 솔숲길을 만나게 된다. 솔숲길 이후 천마산의 문화자원을 만나게 된다. 문화자원은 뛰어난 전망을 자랑하는 곳에 위치한 만큼 성터이다. 이성은 관문성으로 왜구가 신라의 수도인 경주로 침입해 오는 것을 막기 위해 722년에 돌로 쌓은 것이다. 성은 사라졌지만 성터의 흐름은 길을 따라 볼 수 있다. 성터를 지나면 천마산 정상에 오르는데 여느 산과 달리 쉽게 오를 수 있고 산책코스가 함께 있는 매력을 갖고 있는 길이다."
천년 전주 마실길,한옥마을 둘레길,전북 전주시 완산구,보통,6.8,2,"견훤왕의 후백제 부흥을 향한 염원, 태조 이성계의 조선 건국의 기상, 유창한 판소리 가락과 고고한 목향의 기품을 느낄 수 있는 길이다. 전주 한옥마을 오목대를 시작으로 저 멀리 억새가 흐드러진 전주천까지 이어진 길을 걸으며 천년 전주의 역사를 느껴보자."
천마산 생태문화탐방로,천마산 생태문화탐방로 3코스,울산 북구,보통,3.7,1.5,"천마산 생태문화탐방로는 천마산을 아우르는 길로서 다양한 코스와 비교적 쉬운 길로 즐거운 산행을 즐길 수 있으며, 편백나무 숲이 있어서 편백산림욕을 즐길 수 있어 가족 단위 나들이에 더 없이 좋은 산길이다. 버스로 여행한다면 천마산생태문화탐방로는 달천마을부터 시작되지만 자차를 이용한 여행객은 만석골저수지에서 여행이 시작된다. 만석골저수지는 울산 북구청에서 순환산책로를 조성하여 저수지 풍광을 시원하게 바라보며 산책할 수 있어 가족여행객에게 사랑 받는 곳이다. 만석골저수지를 한 바퀴 돌고 나면 임도를 따라 천마산 정상으로 걷게 된다. 1, 2코스가 1/3정도 길이 겹쳐지는 반면 3코스는 천마산 정상에 오르지 않고는 다른 코스를 만나지 않는다. 임도를 따라 걷는 것은 숲길보다 즐거움은 없지만 누군가와 함께 이야기 하며 오순도순 걷기에 괜찮은 길이다. 임도를 따라 이야기하면 걷다보면 금새 천마산 정상에 이르게 된다."
충주 풍경길,하늘재길,충북 충주시,쉬움,4.1,2,"월악산 국립공원 안에 자리한 하늘재길은 우리나라에서 가장 오래된 고갯길인 하늘재를 다녀오는 길로 충주시 권역내의 오솔길이다. 왕복 4km의 오솔길을 걸어 갔다 되짚어오는 길로 난이도는 매우 낮은편이어서 가족여행으로 적당하다. 하늘재의 역사는 신라 제8대 왕인 아달라왕까지 올라가니 무려 1,800년 역사를 가진 옛길 중에서도 아주 오래된 길이다. 그 당시 신라가 한강 부근까지 북진하기 위해 개통한 길로 군사적인 목적 외에도 교역의 통로가 되기도 했다. 하늘재를 중심으로 충주시권은 미륵리로 내세의 의미를 가지며, 문경시에 속하는 구역은 현세에 복을 주는 보살인 관음에서 유래하는 관음리의 행정명칭을 갖는다. 따라서 하늘재는 현세와 내세를 구분하는 상징성도 있는 셈이다. 하늘재 부근에서 피겨 선수 김연아의 스파이럴(비엘만 스핀) 장면과 비슷하게 생긴 소나무를 ‘연아 닮은 소나무’라고 칭하고 있어 재미를 더한다."
강동사랑길,07-A코스,울산 북구,쉬움,3.82,1.5,"세상만사 바라는 일이 모두 이루어질 것 같은 길이다. 한적한 전통 농어촌 마을 ‘금천아름마을’을 지나 깊은 사연이 담겨 있을 것 같은 ‘누운 소나무’, 한 노인의 꿈에 나타나 발견할 수 있었다는 ‘어물동마애여래좌상’, 희망의 메시지를 전하는 ‘어물천벽화’등을 걷다 보면 긍정적인 마음을 키워 ‘함 없이 한다’는 의미를 깨닫게 된다."
희망볼랫길,1코스,경기 양평군,어려움,18,4.5,"볼랫길은 보고 또 봐도 다시 가고 싶은 길이라는 의미를 가지고 있다. 희망볼랫길은 희망근로사업을 통해 만들어졌기 때문에 '희망볼랫길'이란 이름이 붙여지게 되었다. 중앙선 전철을 타고 용문역에서 내려 조금 걸어 나오면 볼랫길 이정표가 보인다. 주읍산 둘레를 걸으며 산길과 작은 시골마을 등을 구경할 수 있는 코스이다. 이정표가 다듬어지지않아 헤메기 쉽지만 4월초, 산수유가 피어나는 게절이되면 주읍산과 마을마다 산수유가 지천으로 피어나는 시기에 맞추어 구경하며 걷기 좋다. 여행이 끝나는 곳 역시 중앙선 원덕역으로 시골마을과 추월산 트레킹을 마치고 되돌아 가기 좋은 곳이다."
대전둘레산길,1구간,대전 중구,보통,9.3,6,"보문산은 대전 시민들에게 가장 사랑받는 산이다. 보문산 녹음은 대전팔경 중 하나로 선정되었으며, 보물이 묻혀있다는 전설이 내려오는 산이기도 하다. 조선시대 동춘당 송준길 선생은 그의 문집에서 보문산을 봉무산(鳳舞山)으로 불렀는데 이는 봉황이 춤을 추고 있는 산이란 뜻이다. 산 정상인 시루봉에 오르면 주변 조망이 매우 좋아 날씨가 맑은 날에는 멀리 계룡산, 대둔산, 서대산, 속리산 등이 보이며, 보문정에서 남쪽을 바라보면 산줄기가 겹겹이 멋지게 펼쳐져 있고, 북쪽을 바라보면 대전 시가지와 대전둘레의 산들이 한눈에 펼쳐져 있다. 1구간 코스는 고촉사를 거쳐 시루봉에 오르는 초입에 힘이 들지만 이후 오도산이나 금동고개까지 그리 힘들지 않고 여유롭게 산행을 할 수 있다. 1구간 주변에 대전 아쿠아 월드와 한밭도서관, 대전시향토사료관, 보문산성 , 보문산마애여래좌상, 봉소루, 월송재, 보문사지 등이 있다."
대전둘레산길,2구간,대전 중구,매우어려움,13.1,12,"만인산은 태봉산이라고도 부르는데 조선 태조 이성계의 태실이 이곳에 있기 때문에 붙여진 이름이다. 이산은 동구의 남쪽 끝에 있기에 대전 시민들이 마을 뒷산처럼 쉽게 찾지는 못하지만 만인산 휴양림은 가족과 함께 산길을 걷기에 참 좋은 곳이며, 특히 연인들에게 가장 사랑 받는 장소이기도 하다. 또한 3대 하천 중 대전천의 발원지가 바로 만인산 봉수레미골에 있으며, 산길이 부드럽고 낙엽송이 주변에 잘 어우러져 있어 멋진 분위기를 자아낸다. 2구간 코스는 동구와 중구의 구계와 대전시계에 주로 형성되어 있는데 많은 사람들이 다니지 않는 산길이라 주위를 잘 살피며 산행해야 한다. 만인산 정상에 오르면 주변의 조망이 좋고 특히 서쪽 능선이 아름답다. 근처에 서대산과 정기봉이 보이고 멀리 보문산, 식장산, 천비산이 눈에 들어온다. 2구간 주변에 신채호선생생가지, 조선을 건국한 태조 이성계의 태실과 시민들이 많이 찾는 만인산 푸른학습원, 만인산 휴양림, 만인산 휴게소가 있다."
대전둘레산길,3구간,대전 동구,어려움,12.5,7.5,"이름 없는 삼국시대의 산성과 옛 고개의 흔적이 어렴풋이 남아 있는 구간이다. 특히 머들령은 현재 고개로서의 기능은 상실하였지만 그 옛날 많은 사람들이 봇짐을 지고 넘나들던 유명한 고개였다. 지금은 추부터널과 마달령터널이 대전과 금산을 연결하지만 예전엔 태봉재나 머들령을 넘어야 금산으로 갈 수 있었다. 또한 머들령은 '요강원을 지나 머들령 옛날 이 길로 원님이 내리고 등짐장사 쉬어 넘고 도적이 목 지키던 곳'으로 시작하는 대전의 대표적 시인 정훈 시인의 시 '머들령'의 배경이기도 하다. 3구간은 만인산 휴게소 주차장에서 바로 태실로 등산로가 연결되어 있는데 높낮이가 심한 구간으로 힘이 들지만 능선에서 바라보는 조망은 아주 좋다. 정기봉을 지나 식장산 방향으로 등산로가 잘 나 있으며 머들령 부근 산 정상부의 산성을 비롯하여 여러 곳에서 보루를 확인할 수 있어, 이곳이 삼국시대 군사적 요충지였음을 짐작할 수 있다. 3구간 주변에 동구청소년자연수련관과 상소동산림욕장이 있다"
대전둘레산길,4구간,대전 중구,매우어려움,13.6,7.5,"식장산(598m)은 대전에서 가장 높은 산으로 보만식계로 불리는 보문산, 만인산, 식장산, 계족산 줄기를 모두 조망할 수 있고, 특히 활공장에서 내려다보는 대전시가의 모습과 야경은 가히 환상적이라 할 수 있다. 식장산의 또 다른 매력은 생태환경이 잘 보전되어 있고 대전에서 보기 드물게 시원한 계곡이 있다는 것이다. 세천 수원지 주변에 봄이면 벚꽃으로 가을엔 단풍이 유명해 많은 시민들이 찾고 있으며, 식장산 자연생태림은 대전팔경 중 하나이다. 4구간 코스는 전체적으로 산길이 잘 정비되어 있으나 높낮이가 심해 초보자들은 힘들어하는 구간이다. 닭재는 대전에서 유명한 옛 고갯길이며 인근에 있는 계현성은 삼국시대 산성으로 닭재를 지키는 성임을 알 수 있고 성안에는 지금도 토기편과 기와편 등을 쉽게 찾아볼 수 있다. 4구간 주변에는 대전에서 가장 오래된 고찰인 고산사와 그 외에 식장사, 개심사, 구절사 등의 사찰이 있으며, 1934년에 조성된 세천수원지, 식장산 KT송신탑과 방송국 중계탑이 있다."
대전둘레산길,5구간,대전 동구,어려움,11,6.5,"5구간(계족산성길) : 산성의 도시 대전이여 계족산 정상의 봉황정이란 이름은 그 옛날 계족산을 봉황산이라 부른 것이 유래된 것으로 보여 진다. 계족산은 '고려사'에도 등장하는 오래된 지명이며, 전해오는 이야기에는 가뭄이 심할 때 이산이 울면 비가 내린다 하여 비수리라 불렀다고 한다. 계족산 봉황정에서 바라보는 저녁노을은 대전팔경 중 하나이다. 계족산 하면 계족산성이 떠오르는데 그 만큼 대전 지역에서는 계족산성으로 대표되는 산성이 5구간에 걸쳐 무수히 많다. 삼정동산성, 갈현성, 능성, 질현성으로 이어지는 산성과 자성으로 여겨지는 작은 보루들을 합치면 10여개가 넘는다. 이쯤 되면 5구간은 산성의 도시 대전을 확인할 수 있는 최적의 산성트레킹 코스이기도 하다. 5구간 코스는 전체적으로 완만하여 그리 힘들지 않으며 등산로가 잘 정비되어 있다. 구간의 중간부분부터 우측으로 멋진 대청호수를 조망할 수 있고 좌측으로는 대전 시가가 펼쳐져 있다. 5구간 주변에 비룡동줄골돌장승, 남간정사, 비래동고인돌, 옥류각, 비"
대전둘레산길,6구간,대전 대덕구,보통,13.5,7.5,"6구간(금강길) : 계족산 북쪽 끝자락과 금강 계족산의 북쪽 자락과 대전 북쪽 금강이 어우러지는 코스로 금강을 따라 걷는 5km의 구간은 대전둘레산길잇기의 새로운 맛을 느끼게 하는 코스이다. 용화사 주차장에서 출발하여 잠시 용화사에 들러 대전시 유형문화재 26호로 지정된 용화사석불입상을 먼저 보고 계족산 정상인 봉황정에 오르는 것이 좋다. 봉황정에서 주변을 살피면 대전둘레산길 12개 구간이 모두 눈에 들어오는 것이 특징이며, 계족산에서 바라보는 저녁노을은 대전팔경 중 하나이다. 봉황정에서 장동고개로 이어지는 등산로는 대전의 북쪽을 조망하기에 매우 좋다. 장동고개를 지나서 능선 상에 있는 군부대의 철책을 통과하지 말고 약간 서쪽으로 돌아서 대전철도차량정비창 옆길을 이용하여 다시 능선으로 붙어 금강까지 진행하면 금강본류와 충주시 청원구 현도면 노산리 들녘을 멋지게 조망할 수 있는 계족산 끝자락과 만나게 된다.특히 5km에 달하는 금강과 갑천을 따라 걷는 구간은 새로운 걷기의 맛을 느끼게 해준다. 6구간 주변에 용호동구석기유적지, 용호동 돌장승과 돌탑, 신탄진 정수장, 대청댐, 금고동산성 등이 있다."
대전둘레산길,7구간,대전 유성구,보통,12.2,7.5,"7구간(금병산길) : 비단으로 병풍을 두른 금병산 비단으로 병풍을 두른 금병산은 오봉산, 보덕봉과 더불어 대전 북쪽에 위치한 그리 높지 않은 산이다. 대전의 여러 산 중에서 시민들이 많이 찾기 보다는 인근 주민들이 주로 찾는 뒷동산 같은 친근한 산이다. 오봉산에서 구룡고개를 지나 다시 보덕봉에 오르면 송강과 대덕테크노밸리 일대가 손에 잡힐 듯 가까이에 보인다. 이어서 용바위에 오르기에 숨이 가쁘지만 이제 금병산은 바로 지척이다. 금병산 364m로 그리 높지 않고 완만하게 능선이 연결되어 있어 산길을 걷기에 아주 좋다. 금병산은 조망이 매우 좋아 날씨가 좋은 날이면 멀리 남쪽으로 대둔산이 바라다 보인다. 금병산에는 용이 거처하던 세 개의 굴이 있다는 전설이 내려오고 있으며, 수운교의 천단이 자리하고 있다. 7구간 코스에서 국방과학연구소의 5km에 달하는 철책구간을 통과하는 것이 쉽지 않은 일이다. 중간에 노루봉에서 자운대 상가쪽으로 내려오는 것도 무방하다. 7구간 주변에 적오산성, 수운교 천단과 석종, 봉령각, 용호당 등이 있다."
대전둘레산길,8구간,대전 유성구,보통,9,6,"8구간(우산봉길) : 산행의 참 맛 갑하산 대전 서편의 우산봉과 갑하산을 중심으로 최고의 눈맛을 자랑하는 구간이다. 숲 속길과 능선길이 잘 조화를 이르고 있고 특히 서쪽 편으로 펼쳐지는 계룡산 산줄기를 한눈에 조망할 수 있어 장쾌함을 선사한다. 국립대전현충원과 유성일대를 한눈에 내려다 볼 수 있으며 가을에는 단풍이 곱게 물들어 산행의 맛을 더 한다. 안산동 산성은 서문지가 거의 완벽하게 남아 있는 백제시대 산성으로 유명하며 매년 3월 1일 산성제를 거행하고 있다. 산성을 둘러보고 우산봉을 오르는 숲속길이 매우 정겹고 푸근함을 선사한다. 우산봉까지는 가파르지만 우산봉에 올라 주변을 살피면 그 절경에 감탄하게 된다. 특히 우산봉에서 갑하산 으로 연결되는 능선은 대전 최고의 능선 산행코스로 손색이 없으며, 서쪽을 바라보면 계룡산 산줄기가 한눈에 들어와 일명 계룡산 전망대라 일컬어지는 곳이기도 하다. 8구간 주변에 국립대전현충원, 월드컵경기장, 대전선사박물관 등이 있다."
대전둘레산길,9구간,대전 유성구,보통,10,6,"9구간(수통골길) : 비단에 수를 놓은 금수봉 계룡산 국립공원에 포함되어 있는 지역으로 산세의 수려함을 자랑한다. 삽재에서 도덕봉을 오르는 초입에 소나무 숲이 정겨우며 약간은 힘이 들지만 그리 어렵지 않다. 이곳은 산이 높고 계곡이 깊어 다양한 야생동물들이 서식하고 있는 꼭 보전해야 할 자연유산이다. 도덕봉 정상은 조망이 좋지 않은 곳이지만 자티고개쪽으로 이동하면서 수통골 계곡과 주변의 다양한 모습을 둘러보는 재미는 이 구간을 산행해 보지 않은 사람은 모를 것이다. 금수봉은 비단에 수를 놓은 듯 아름답다 하여 붙여진 이름이라고 한다. 금수봉에 서면 남쪽으로 성북동이 한눈에 들어오는데 지금도 성북동 새뜸마을 주민들은 금수봉 자락에서 산제를 드리고 마을의 평안과 화합을 기원한다. 9구간 주변에 유성유스호스텔, 복용승마장, 수통골 입구 주변으로 맛집들이 즐비하다."
대전둘레산길,10구간,대전 유성구,보통,7.9,5.5,"10구간(성북동산성길) : 새로운 눈 맛과 범바위 용바위의 합창 빈계산은 산의 모양이 암탉과 같다 해서 빈계산이라 했다고 한다. 대전지역은 삼한시대에 마한에 속했고, '대전시사'에 따르면 54개의 작은 소국들로 이루어진 마한 중에서 신흔국이 유성구 빈계산 자락에 있었다고 추정하고 있다고 한다. 10구간 코스는 빈계산 정상에서 방동저수지로 이어지는 산줄기가 완만한 경사를 이루고 있어 편하게 산행할 수 있는 대전둘레산길잇기 12개 구간 중 가장 짧은 구간이다. 많이 알려져 있지 않은 등산로 이지만 잘 정비되어 있고 전설이 서린 범바위 용바위를 감상하며 대전을 새로운 시각에서 볼 수 있어 즐거움이 있는 코스이다. 가끔 대전에도 성북동이 있어요? 라고 묻는 사람이 있는데 성북동의 옛 이름은 '잣뒤'이다. 지금도 성북동에 잣뒤 마을이 있고 수백년된 느티나무 보호수가 길가에 장관을 이룬다. 10구간 주변에 성북동산림욕장, 방동저수지, 석조보살입상, 범바위, 용바위, 성북동산성 등 문화적 자원이 많다."
대전둘레산길,11구간,대전 유성구,보통,9.4,6.5,"11구간(구봉산길) : 두 얼굴을 가진 구봉산 구봉산(九峰山)은 봉우리가 아홉 개인 산이라고 해서 구봉산이라 했다지만 사실 봉우리는 이보다 많아 보인다. 아마도 봉우리가 많은 산의 의미로 가장 큰 수인 '구(九)'라는 수를 사용한 듯하며, 조선 영조 때의 읍지인 여지도서에는 구봉산(九鳳山)이라고 기록되어 있기도 하다. 또한 '군신입조형'과 '구봉귀소형'의 명당이라는 이야기와 함께 신선바위에서 신선이 내려와 바둑을 두었다는 전설이 내려오고 있다. 구봉정에서 북쪽의 관저동을 보면 도시의 아파트촌이 남쪽의 흑석동 노루벌을 보면 갑천이 휘돌아가는 아름다운 시골 풍경이 물신 풍기는데 이 두 모습을 번갈아 보고 있으면 구봉산은 두 얼굴을 가진 산으로 느껴진다. 특히 구봉산 가을 단풍은 대전팔경 중 하나로 빼어난 산세와 잘 어울리고 봄에는 진달래의 향연을 즐길 수 있다. 괴곡동 새뜸마을에는 대전에서 가장 오래된 650년이 넘은 느티나무 천연기념물이 있으며 갑천을 횡단하여 정림중학교를 지나 효자봉을 거쳐 쟁기봉으로 진행하면 된다. 11구간 주변에 파평윤씨서윤공파고택과 괴곡동돌장승, 정림동에 단군을 모신 단묘 등이 있다."
대전둘레산길,12구간,대전 중구,보통,11.5,7,"12구간(동물원길) : 끝이 아닌 대전사랑 뿌리공원 주변의 산과 유등천 그리고 동물원을 돌아 보문산 정상인 시루봉으로 연결되는 구간이다. 쟁기봉, 장안봉, 침산을 돌아 뿌리공원으로 이어지는 구간이 산행하기에 만만치 않다. 족보박물관과 성씨들의 유래를 알 수 있는 뿌리공원을 둘러보고 유등천을 횡단하여 동물원 철책을 따라 국사봉으로 이어진다. 국사봉에서 다시 동물원 철책을 따라 까치고개로 진행하면서 숲길의 다양함을 맛 볼 수 있다. 12구간 주변에 유회당, 삼근정사, 산신당, 여경암, 국사봉유적, 사정성 등 문화재가 많으며 동물원, 꽃동산, 놀이체험이 있는 대전 오월드가 있다. 이제 보문산 시루봉에서 대전둘레산길잇기 12구간은 마무리 된다. 한 달에 한번 1년이란 시간을 투자해서 대전이 새롭게 느껴지는 감동을 느낄 수 있다면 대전 시민 누구나 한번쯤 계획을 세워 가족과 함께 참여 해주기 바란다."
